filename,tick,r,g,b,button,section,label
cards-2hz-100ms-2.csv,36000,84.0,37.0,193.0,0.0,,ambient
cards-2hz-100ms-2.csv,36500,83.0,36.0,192.0,0.0,,ambient
cards-2hz-100ms-2.csv,37000,84.0,36.0,193.0,0.0,,ambient
cards-2hz-100ms-2.csv,37500,83.0,35.0,191.0,0.0,,ambient
cards-2hz-100ms-2.csv,38000,84.0,36.0,192.0,0.0,,ambient
cards-2hz-100ms-2.csv,38500,84.0,36.0,190.0,0.0,,ambient
cards-2hz-100ms-2.csv,39000,85.0,37.0,191.0,0.0,,ambient
cards-2hz-100ms-2.csv,39500,84.0,37.0,252.0,0.0,,
cards-2hz-100ms-2.csv,40000,88.0,78.0,283.0,0.0,,
cards-2hz-100ms-2.csv,40500,88.0,94.0,260.0,0.0,,
cards-2hz-100ms-2.csv,41000,88.0,96.0,242.0,0.0,,
cards-2hz-100ms-2.csv,41500,90.0,98.0,248.0,1.0,0.0,Black
cards-2hz-100ms-2.csv,42000,90.0,98.0,245.0,1.0,0.0,Black
cards-2hz-100ms-2.csv,42500,90.0,98.0,245.0,1.0,0.0,Black
cards-2hz-100ms-2.csv,43000,91.0,98.0,243.0,1.0,0.0,Black
cards-2hz-100ms-2.csv,43500,90.0,98.0,245.0,1.0,0.0,Black
cards-2hz-100ms-2.csv,44000,94.0,99.0,244.0,0.0,,
cards-2hz-100ms-2.csv,44500,89.0,97.0,243.0,0.0,,
cards-2hz-100ms-2.csv,45000,91.0,98.0,260.0,0.0,,
cards-2hz-100ms-2.csv,45500,79.0,38.0,190.0,0.0,,ambient
cards-2hz-100ms-2.csv,46000,83.0,36.0,191.0,0.0,,ambient
cards-2hz-100ms-2.csv,46500,82.0,36.0,189.0,0.0,,ambient
cards-2hz-100ms-2.csv,47000,83.0,36.0,191.0,0.0,,
cards-2hz-100ms-2.csv,47500,173.0,466.0,609.0,0.0,,
cards-2hz-100ms-2.csv,48000,190.0,475.0,601.0,0.0,,
cards-2hz-100ms-2.csv,48500,187.0,472.0,604.0,0.0,,
cards-2hz-100ms-2.csv,49000,189.0,477.0,601.0,1.0,1.0,White
cards-2hz-100ms-2.csv,49500,189.0,477.0,601.0,1.0,1.0,White
cards-2hz-100ms-2.csv,50000,189.0,477.0,601.0,1.0,1.0,White
cards-2hz-100ms-2.csv,50500,188.0,479.0,600.0,1.0,1.0,White
cards-2hz-100ms-2.csv,51000,188.0,479.0,600.0,1.0,1.0,White
cards-2hz-100ms-2.csv,51500,190.0,481.0,598.0,1.0,1.0,White
cards-2hz-100ms-2.csv,52000,192.0,478.0,600.0,0.0,,
cards-2hz-100ms-2.csv,52500,65.0,41.0,188.0,0.0,,
cards-2hz-100ms-2.csv,53000,82.0,37.0,191.0,0.0,,ambient
cards-2hz-100ms-2.csv,53500,82.0,41.0,187.0,0.0,,
cards-2hz-100ms-2.csv,54000,84.0,42.0,308.0,0.0,,
cards-2hz-100ms-2.csv,54500,128.0,197.0,585.0,0.0,,
cards-2hz-100ms-2.csv,55000,131.0,205.0,562.0,0.0,,
cards-2hz-100ms-2.csv,55500,129.0,207.0,561.0,1.0,2.0,Grey
cards-2hz-100ms-2.csv,56000,132.0,208.0,562.0,1.0,2.0,Grey
cards-2hz-100ms-2.csv,56500,131.0,207.0,565.0,1.0,2.0,Grey
cards-2hz-100ms-2.csv,57000,131.0,208.0,562.0,1.0,2.0,Grey
cards-2hz-100ms-2.csv,57500,132.0,209.0,562.0,1.0,2.0,Grey
cards-2hz-100ms-2.csv,58000,132.0,208.0,562.0,1.0,2.0,Grey
cards-2hz-100ms-2.csv,58500,135.0,209.0,562.0,0.0,,
cards-2hz-100ms-2.csv,59000,130.0,158.0,270.0,0.0,,
cards-2hz-100ms-2.csv,59500,78.0,38.0,190.0,0.0,,ambient
cards-2hz-100ms-2.csv,60000,83.0,37.0,191.0,0.0,,ambient
cards-2hz-100ms-2.csv,60500,84.0,38.0,189.0,0.0,,ambient
cards-2hz-100ms-2.csv,61000,84.0,56.0,246.0,0.0,,
cards-2hz-100ms-2.csv,61500,171.0,336.0,308.0,0.0,,
cards-2hz-100ms-2.csv,62000,183.0,268.0,303.0,0.0,,
cards-2hz-100ms-2.csv,62500,177.0,265.0,308.0,0.0,,
cards-2hz-100ms-2.csv,63000,182.0,265.0,309.0,1.0,3.0,Pink
cards-2hz-100ms-2.csv,63500,181.0,264.0,314.0,1.0,3.0,Pink
cards-2hz-100ms-2.csv,64000,181.0,264.0,312.0,1.0,3.0,Pink
cards-2hz-100ms-2.csv,64500,180.0,264.0,312.0,1.0,3.0,Pink
cards-2hz-100ms-2.csv,65000,181.0,265.0,315.0,1.0,3.0,Pink
cards-2hz-100ms-2.csv,65500,183.0,274.0,313.0,1.0,3.0,Pink
cards-2hz-100ms-2.csv,66000,179.0,233.0,204.0,0.0,,
cards-2hz-100ms-2.csv,66500,83.0,40.0,191.0,0.0,,
cards-2hz-100ms-2.csv,67000,83.0,37.0,192.0,0.0,,ambient
cards-2hz-100ms-2.csv,67500,83.0,36.0,190.0,0.0,,
cards-2hz-100ms-2.csv,68000,85.0,81.0,876.0,0.0,,
cards-2hz-100ms-2.csv,68500,205.0,134.0,778.0,0.0,,
cards-2hz-100ms-2.csv,69000,199.0,141.0,777.0,0.0,,
cards-2hz-100ms-2.csv,69500,206.0,136.0,778.0,1.0,4.0,Yellow
cards-2hz-100ms-2.csv,70000,207.0,137.0,778.0,1.0,4.0,Yellow
cards-2hz-100ms-2.csv,70500,206.0,137.0,778.0,1.0,4.0,Yellow
