x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.9673,-0.1681,-0.1935
0.9389,-0.1671,-0.2130
0.9135,-0.1710,-0.2316
0.9272,-0.1671,-0.2335
0.9575,-0.1729,-0.2149
0.9575,-0.1778,-0.2081
0.9692,-0.1768,-0.1935
0.9751,-0.1788,-0.1856
0.9770,-0.1808,-0.1827
0.9702,-0.1798,-0.1837
0.9692,-0.1778,-0.1847
0.9722,-0.1768,-0.1837
0.9682,-0.1778,-0.1886
0.9585,-0.1798,-0.1895
0.9751,-0.1749,-0.1866
0.9624,-0.1798,-0.1778
0.9741,-0.1798,-0.1710
0.9731,-0.1778,-0.1690
0.9702,-0.1788,-0.1671
0.9682,-0.1729,-0.1632
0.9770,-0.1768,-0.1553
0.9712,-0.1759,-0.1544
0.9819,-0.1759,-0.1573
0.9692,-0.1788,-0.1593
0.9614,-0.1759,-0.1544
0.9907,-0.1720,-0.1524
0.9829,-0.1827,-0.1485
0.9751,-0.1837,-0.1475
0.9829,-0.1837,-0.1436
0.9722,-0.1788,-0.1583
0.9819,-0.1759,-0.1612
0.9643,-0.1778,-0.1641
0.9575,-0.1739,-0.1700
0.9751,-0.1778,-0.1632
0.9722,-0.1798,-0.1583
0.9800,-0.1827,-0.1505
0.9829,-0.1856,-0.1495
0.9751,-0.1827,-0.1505
0.9428,-0.1768,-0.1808
0.9790,-0.1729,-0.1661
0.9526,-0.1671,-0.1739
0.9038,-0.1768,-0.1602
0.8666,-0.1690,-0.1651
0.9897,-0.1759,-0.0752
1.0230,-0.1915,0.0420
1.0044,-0.2091,0.0606
1.0278,-0.2257,0.1241
1.0376,-0.2013,0.0977
0.9761,-0.1944,0.0743
0.9682,-0.1895,0.0430
1.0064,-0.1768,0.0430
1.0269,-0.1690,0.0293
1.0562,-0.1544,0.0107
1.0083,-0.1426,-0.0713
0.9331,-0.1309,-0.1133
0.9673,-0.1251,-0.1456
1.0523,-0.1329,-0.1153
1.0239,-0.1583,-0.0401
0.9682,-0.1876,0.0098
0.9995,-0.1964,0.0195
1.0327,-0.1612,-0.0254
0.9751,-0.1505,-0.0449
0.9194,-0.1299,-0.1026
0.9194,-0.1280,-0.1847
0.9946,-0.1241,-0.2511
0.9995,-0.1241,-0.2257
0.9976,-0.1446,-0.1241
1.0112,-0.1651,-0.0938
0.9565,-0.1495,-0.1163
0.9604,-0.1387,-0.1485
0.9858,-0.1329,-0.1915
0.9976,-0.1290,-0.1788
0.9380,-0.1251,-0.1886
0.9184,-0.1348,-0.1895
0.9565,-0.1407,-0.2169
0.9409,-0.1417,-0.2110
0.9780,-0.1524,-0.1495
0.9946,-0.1466,-0.1368
0.9809,-0.1407,-0.1104
0.9770,-0.1339,-0.0977
1.0171,-0.1309,-0.1221
1.0015,-0.1378,-0.1212
1.0044,-0.1339,-0.1114
0.9634,-0.1387,-0.1065
0.9565,-0.1485,-0.0948
0.9790,-0.1495,-0.0743
0.9839,-0.1612,-0.0420
1.0200,-0.1641,-0.0449
1.0601,-0.1612,-0.0576
1.0103,-0.1593,-0.0606
0.9907,-0.1563,-0.0811
1.0005,-0.1514,-0.0997
1.0083,-0.1456,-0.1114
0.9741,-0.1495,-0.1202
0.9497,-0.1524,-0.1524
0.9477,-0.1436,-0.1935
0.9966,-0.1495,-0.2140
0.9340,-0.1407,-0.2013
0.9614,-0.1417,-0.1974
0.9516,-0.1417,-0.2130
0.9849,-0.1407,-0.1954
0.9653,-0.1505,-0.1856
0.9849,-0.1456,-0.1690
0.9839,-0.1514,-0.1661
1.0024,-0.1514,-0.1553
0.9839,-0.1553,-0.1641
0.9575,-0.1534,-0.1915
0.9497,-0.1495,-0.2003
0.9663,-0.1466,-0.1944
0.9663,-0.1466,-0.1915
0.9682,-0.1514,-0.1915
0.9702,-0.1475,-0.1837
0.9809,-0.1505,-0.1827
0.9692,-0.1524,-0.1827
0.9643,-0.1505,-0.1847
0.9536,-0.1485,-0.1866
0.9790,-0.1495,-0.2003
0.9673,-0.1524,-0.1505
0.9692,-0.1475,-0.1475
1.0024,-0.1622,-0.1378
0.9985,-0.1622,-0.1202
0.9966,-0.1671,-0.1055
0.9858,-0.1671,-0.0948
0.9907,-0.1661,-0.1065
0.9946,-0.1612,-0.1221
0.9741,-0.1553,-0.1426
0.9780,-0.1563,-0.1553
0.9858,-0.1583,-0.1466
0.9516,-0.1553,-0.1641
0.9663,-0.1544,-0.1661
0.9673,-0.1612,-0.1583
0.9868,-0.1612,-0.1475
0.9839,-0.1593,-0.1475
0.9839,-0.1563,-0.1544
0.9712,-0.1573,-0.1563
0.9800,-0.1553,-0.1553
0.9731,-0.1573,-0.1573
0.9731,-0.1573,-0.1563
0.9829,-0.1573,-0.1544
0.9770,-0.1602,-0.1563
0.9780,-0.1583,-0.1534
0.9673,-0.1573,-0.1622
0.9761,-0.1593,-0.1593
0.9790,-0.1583,-0.1544
