x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.1778,0.1798,-0.9897
0.1778,0.1768,-0.9888
0.1778,0.1778,-0.9888
0.1778,0.1778,-0.9878
0.1768,0.1778,-0.9878
0.1778,0.1778,-0.9888
0.1788,0.1768,-0.9888
0.1778,0.1778,-0.9897
0.1778,0.1768,-0.9868
0.1768,0.1768,-0.9897
0.1788,0.1778,-0.9888
0.1778,0.1778,-0.9888
0.1778,0.1788,-0.9888
0.1768,0.1768,-0.9858
0.1768,0.1768,-0.9897
0.1778,0.1778,-0.9888
0.1778,0.1768,-0.9878
0.1788,0.1778,-0.9878
0.1778,0.1759,-0.9897
0.1778,0.1798,-0.9888
0.1778,0.1778,-0.9888
0.1788,0.1788,-0.9888
0.1788,0.1798,-0.9878
0.1788,0.1778,-0.9878
0.1788,0.1778,-0.9888
0.1788,0.1788,-0.9888
0.1788,0.1798,-0.9858
0.1778,0.1788,-0.9888
0.1768,0.1778,-0.9888
0.1778,0.1778,-0.9868
0.1788,0.1778,-0.9878
0.1788,0.1788,-0.9888
0.1788,0.1768,-0.9878
0.1778,0.1768,-0.9888
0.1778,0.1768,-0.9888
0.1778,0.1798,-0.9878
0.1788,0.1788,-0.9897
0.1788,0.1778,-0.9878
0.1778,0.1788,-0.9878
0.1788,0.1778,-0.9897
0.1788,0.1768,-0.9888
0.1778,0.1768,-0.9878
0.1788,0.1778,-0.9907
0.1778,0.1778,-0.9868
0.1778,0.1778,-0.9897
0.1788,0.1788,-0.9888
0.1778,0.1768,-0.9878
0.1778,0.1778,-0.9897
0.1778,0.1798,-0.9897
0.1788,0.1778,-0.9868
0.1768,0.1778,-0.9897
0.1788,0.1788,-0.9888
0.1778,0.1778,-0.9888
0.1788,0.1778,-0.9878
0.1788,0.1798,-0.9888
0.1768,0.1759,-0.9888
0.1778,0.1778,-0.9868
0.1768,0.1798,-0.9868
0.1788,0.1788,-0.9878
0.1788,0.1778,-0.9878
0.1798,0.1778,-0.9878
0.1768,0.1778,-0.9897
0.1788,0.1788,-0.9878
0.1788,0.1798,-0.9878
0.1798,0.1768,-0.9888
0.1788,0.1788,-0.9897
0.1778,0.1778,-0.9897
0.1778,0.1788,-0.9888
0.1788,0.1778,-0.9888
0.1798,0.1788,-0.9888
0.1768,0.1768,-0.9888
0.1768,0.1778,-0.9878
0.1788,0.1768,-0.9878
0.1768,0.1768,-0.9888
0.1788,0.1778,-0.9878
0.1788,0.1788,-0.9878
0.1788,0.1788,-0.9868
0.1798,0.1788,-0.9878
0.1778,0.1768,-0.9878
0.1768,0.1778,-0.9878
0.1778,0.1778,-0.9878
0.1778,0.1768,-0.9878
0.1798,0.1778,-0.9878
0.1778,0.1778,-0.9868
0.1788,0.1778,-0.9888
0.1778,0.1778,-0.9878
0.1778,0.1788,-0.9888
0.1778,0.1778,-0.9878
0.1788,0.1768,-0.9888
0.1778,0.1778,-0.9888
0.1778,0.1788,-0.9888
0.1778,0.1778,-0.9888
0.1778,0.1768,-0.9888
0.1788,0.1788,-0.9878
0.1788,0.1788,-0.9878
0.1788,0.1788,-0.9888
0.1768,0.1768,-0.9878
0.1778,0.1788,-0.9888
0.1778,0.1788,-0.9888
0.1788,0.1798,-0.9868
0.1778,0.1778,-0.9878
0.1788,0.1798,-0.9868
0.1778,0.1778,-0.9888
0.1788,0.1778,-0.9897
0.1778,0.1788,-0.9868
0.1788,0.1788,-0.9868
0.1768,0.1778,-0.9888
0.1778,0.1778,-0.9897
0.1788,0.1778,-0.9878
0.1778,0.1778,-0.9888
0.1778,0.1788,-0.9878
0.1778,0.1768,-0.9888
0.1778,0.1778,-0.9858
0.1778,0.1788,-0.9878
0.1788,0.1768,-0.9888
0.1778,0.1798,-0.9878
0.1768,0.1778,-0.9897
0.1788,0.1768,-0.9868
0.1778,0.1788,-0.9897
0.1778,0.1778,-0.9897
0.1768,0.1768,-0.9888
0.1778,0.1808,-0.9888
0.1788,0.1778,-0.9878
0.1759,0.1778,-0.9888
0.1808,0.1788,-0.9888
0.1749,0.1768,-0.9897
0.1798,0.1768,-0.9888
0.1768,0.1798,-0.9888
0.1768,0.1768,-0.9897
0.1788,0.1798,-0.9888
0.1768,0.1768,-0.9897
0.1788,0.1798,-0.9868
0.1778,0.1778,-0.9888
0.1778,0.1778,-0.9878
0.1778,0.1788,-0.9897
0.1788,0.1778,-0.9888
0.1778,0.1788,-0.9878
0.1788,0.1778,-0.9888
0.1778,0.1778,-0.9878
0.1768,0.1778,-0.9878
0.1768,0.1778,-0.9888
0.1778,0.1768,-0.9868
0.1788,0.1788,-0.9878
0.1788,0.1778,-0.9868
0.1788,0.1788,-0.9878
0.1788,0.1788,-0.9888
0.1788,0.1798,-0.9897
0.1788,0.1778,-0.9878
0.1778,0.1798,-0.9897
0.1788,0.1768,-0.9888
0.1778,0.1778,-0.9888
0.1788,0.1768,-0.9878
